STATION,DATE,TMAX,TMIN
GHCND:USW00013994,19840101,22,-78
GHCND:USW00013994,19840102,39,-44
GHCND:USW00013994,19840103,83,-72
GHCND:USW00013994,19840104,61,6
GHCND:USW00013994,19840105,117,-17
GHCND:USW00013994,19840106,67,-6
GHCND:USW00013994,19840107,100,-17
GHCND:USW00013994,19840108,67,-28
GHCND:USW00013994,19840109,78,-22
GHCND:USW00013994,19840110,-22,-94
GHCND:USW00013994,19840111,-22,-111
GHCND:USW00013994,19840112,6,-83
GHCND:USW00013994,19840113,-6,-67
GHCND:USW00013994,19840114,-33,-78
GHCND:USW00013994,19840115,-39,-89
GHCND:USW00013994,19840116,-17,-94
GHCND:USW00013994,19840117,-72,-117
GHCND:USW00013994,19840118,-100,-183
GHCND:USW00013994,19840119,-61,-183
GHCND:USW00013994,19840120,-111,-211
GHCND:USW00013994,19840121,-61,-211
GHCND:USW00013994,19840122,17,-106
GHCND:USW00013994,19840123,17,-17
GHCND:USW00013994,19840124,89,-6
GHCND:USW00013994,19840125,111,-28
GHCND:USW00013994,19840126,150,11
GHCND:USW00013994,19840127,33,-39
GHCND:USW00013994,19840128,94,-28
GHCND:USW00013994,19840129,78,-17
GHCND:USW00013994,19840130,67,-56
GHCND:USW00013994,19840131,89,-56
GHCND:USW00013994,19840201,167,-33
GHCND:USW00013994,19840202,133,39
GHCND:USW00013994,19840203,117,-6
GHCND:USW00013994,19840204,39,-11
GHCND:USW00013994,19840205,-11,-150
GHCND:USW00013994,19840206,-67,-172
GHCND:USW00013994,19840207,-11,-144
GHCND:USW00013994,19840208,94,-67
GHCND:USW00013994,19840209,67,-28
GHCND:USW00013994,19840210,106,22
GHCND:USW00013994,19840211,194,11
GHCND:USW00013994,19840212,156,78
GHCND:USW00013994,19840213,161,56
GHCND:USW00013994,19840214,200,17
GHCND:USW00013994,19840215,189,33
GHCND:USW00013994,19840216,150,78
GHCND:USW00013994,19840217,106,67
GHCND:USW00013994,19840218,144,61
GHCND:USW00013994,19840219,72,33
GHCND:USW00013994,19840220,100,6
GHCND:USW00013994,19840221,150,0
GHCND:USW00013994,19840222,194,33
GHCND:USW00013994,19840223,211,50
GHCND:USW00013994,19840224,61,22
GHCND:USW00013994,19840225,106,-17
GHCND:USW00013994,19840226,22,6
GHCND:USW00013994,19840227,11,-33
GHCND:USW00013994,19840228,0,-33
GHCND:USW00013994,19840229,-6,-83
GHCND:USW00013994,19840301,39,-56
GHCND:USW00013994,19840302,50,-50
GHCND:USW00013994,19840303,56,-17
GHCND:USW00013994,19840304,67,6
GHCND:USW00013994,19840305,39,-11
GHCND:USW00013994,19840306,22,-44
GHCND:USW00013994,19840307,67,-61
GHCND:USW00013994,19840308,6,-83
GHCND:USW00013994,19840309,0,-100
GHCND:USW00013994,19840310,17,-39
GHCND:USW00013994,19840311,6,-50
GHCND:USW00013994,19840312,-11,-44
GHCND:USW00013994,19840313,28,-28
GHCND:USW00013994,19840314,50,-6
GHCND:USW00013994,19840315,239,50
GHCND:USW00013994,19840316,67,22
GHCND:USW00013994,19840317,67,17
GHCND:USW00013994,19840318,39,6
GHCND:USW00013994,19840319,78,11
GHCND:USW00013994,19840320,44,6
GHCND:USW00013994,19840321,39,6
GHCND:USW00013994,19840322,100,6
GHCND:USW00013994,19840323,117,-11
GHCND:USW00013994,19840324,78,44
GHCND:USW00013994,19840325,72,39
GHCND:USW00013994,19840326,83,39
GHCND:USW00013994,19840327,167,50
